19:56:1	INICIO ENVIO EMAILS....
19:56:26	filename: c:\projectes\Maoni\Maoni\protected\vendors\jquery\dist\jquery.min.js
19:56:26	Request file: /vendors/jquery/dist/jquery.min.js
19:56:26	ext: .JS
19:56:26	Request file: /img/logoGowhite.png
19:56:26	filename: c:\projectes\Maoni\Maoni\protected\img\logoGowhite.png
19:56:26	ext: .PNG
19:56:26	Request file: /img/redondaamarilla.png
19:56:26	filename: c:\projectes\Maoni\Maoni\protected\img\redondaamarilla.png
19:56:26	ext: .PNG
19:56:26	Request file: /img/redondaverde.png
19:56:26	filename: c:\projectes\Maoni\Maoni\protected\img\redondaverde.png
19:56:26	ext: .PNG
19:56:26	Request file: /img/redondaroja.png
19:56:26	filename: c:\projectes\Maoni\Maoni\protected\img\redondaroja.png
19:56:26	ext: .PNG
19:56:26	Request file: /img/redondagris.png
19:56:26	filename: c:\projectes\Maoni\Maoni\protected\img\redondagris.png
19:56:26	ext: .PNG
19:56:27	Request file: /EMB_gis2.html
19:56:27	filename: c:\projectes\Maoni\Maoni\protected\EMB_gis2.html
19:56:27	ext: .HTML
19:56:27	Request file: /vendors/jquery/dist/jquery.min.js?_=1468432586478
19:56:27	filename: c:\projectes\Maoni\Maoni\protected\vendors\jquery\dist\jquery.min.js
19:56:27	ext: .JS
19:56:27	Request file: /vendors/select2/dist/js/select2.full.min.js?_=1468432586479
19:56:27	filename: c:\projectes\Maoni\Maoni\protected\vendors\select2\dist\js\select2.full.min.js
19:56:27	ext: .JS
19:56:27	Request file: /users/emilio.jpg
19:56:27	filename: c:\projectes\Maoni\Maoni\protected\users\emilio.jpg
19:56:27	ext: .JPG
19:56:27	Request file: /img/star.png
19:56:27	ext: .PNG
19:56:27	filename: c:\projectes\Maoni\Maoni\protected\img\star.png
19:56:27	filename: c:\projectes\Maoni\Maoni\protected\users\xavi.jpg
19:56:27	ext: .JPG
19:56:27	Request file: /users/xavi.jpg
19:56:27	Request file: /users/maoni.jpg
19:56:27	filename: c:\projectes\Maoni\Maoni\protected\users\maoni.jpg
19:56:27	ext: .JPG
19:56:27	Request file: /js/lib.js?_=1468432586480
19:56:27	filename: c:\projectes\Maoni\Maoni\protected\js\lib.js
19:56:27	ext: .JS
19:56:27	filename: c:\projectes\Maoni\Maoni\protected\vendors\echarts\dist\echarts.min.js
19:56:27	ext: .JS
19:56:27	Request file: /vendors/echarts/dist/echarts.min.js?_=1468432586481
19:56:27	Request file: /vendors/echarts/map/js/world.js?_=1468432586482
19:56:27	filename: c:\projectes\Maoni\Maoni\protected\vendors\echarts\map\js\world.js
19:56:27	ext: .JS
19:56:31	Request file: /@@MENU@@_page_003.html?SESSIONKEY=252867
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\@@MENU@@_page_003.html
19:56:31	ext: .HTML
19:56:31	Request file: /vendors/jquery/dist/jquery.min.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\jquery\dist\jquery.min.js
19:56:31	ext: .JS
19:56:31	Request file: /vendors/bootstrap/dist/js/bootstrap.min.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\bootstrap\dist\js\bootstrap.min.js
19:56:31	ext: .JS
19:56:31	Request file: /js/toastr.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\js\toastr.js
19:56:31	ext: .JS
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\pdfmake\build\pdfmake.min.js
19:56:31	Request file: /vendors/pdfmake/build/vfs_fonts.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\pdfmake\build\vfs_fonts.js
19:56:31	ext: .JS
19:56:31	Request file: /js/datepicker/daterangepicker.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\js\datepicker\daterangepicker.js
19:56:31	ext: .JS
19:56:31	ext: .JS
19:56:31	Request file: /vendors/pdfmake/build/pdfmake.min.js
19:56:31	Request file: /vendors/select2/dist/js/select2.full.min.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\select2\dist\js\select2.full.min.js
19:56:31	ext: .JS
19:56:31	Request file: /js/custom.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\js\custom.js
19:56:31	ext: .JS
19:56:31	Request file: /js/lib.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\js\lib.js
19:56:31	ext: .JS
19:56:31	Request file: /vendors/bootstrap/dist/css/bootstrap.min.css
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\bootstrap\dist\css\bootstrap.min.css
19:56:31	ext: .CSS
19:56:31	Request file: /vendors/font-awesome/css/font-awesome.min.css
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\font-awesome\css\font-awesome.min.css
19:56:31	ext: .CSS
19:56:31	Request file: /vendors/iCheck/skins/flat/green.css
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\iCheck\skins\flat\green.css
19:56:31	ext: .CSS
19:56:31	Request file: /vendors/bootstrap-progressbar/css/bootstrap-progressbar-3.3.4.min.css
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\bootstrap-progressbar\css\bootstrap-progressbar-3.3.4.min.css
19:56:31	ext: .CSS
19:56:31	Request file: /css/maps/jquery-jvectormap-2.0.3.css
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\css\maps\jquery-jvectormap-2.0.3.css
19:56:31	ext: .CSS
19:56:31	Request file: /vendors/select2/dist/css/select2.min.css
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\select2\dist\css\select2.min.css
19:56:31	ext: .CSS
19:56:31	Request file: /css/toastr.css
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\css\toastr.css
19:56:31	ext: .CSS
19:56:31	Request file: /css/custom.css
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\css\custom.css
19:56:31	ext: .CSS
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\css\maoni.css
19:56:31	ext: .CSS
19:56:31	Request file: /css/maoni.css
19:56:31	Request file: /css/animate.min.css
19:56:31	ext: .CSS
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\css\animate.min.css
19:56:31	Request file: /vendors/datatables.net-bs/css/dataTables.bootstrap.min.css
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-bs\css\dataTables.bootstrap.min.css
19:56:31	ext: .CSS
19:56:31	Request file: /vendors/datatables.net-buttons-bs/css/buttons.bootstrap.min.css
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-buttons-bs\css\buttons.bootstrap.min.css
19:56:31	ext: .CSS
19:56:31	Request file: /vendors/datatables.net-fixedheader-bs/css/fixedHeader.bootstrap.min.css
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-fixedheader-bs\css\fixedHeader.bootstrap.min.css
19:56:31	ext: .CSS
19:56:31	Request file: /vendors/datatables.net-responsive-bs/css/responsive.bootstrap.min.css
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-responsive-bs\css\responsive.bootstrap.min.css
19:56:31	ext: .CSS
19:56:31	Request file: /vendors/datatables.net-scroller-bs/css/scroller.bootstrap.min.css
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-scroller-bs\css\scroller.bootstrap.min.css
19:56:31	ext: .CSS
19:56:31	Request file: /vendors/parsleyjs/dist/parsley.min.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\parsleyjs\dist\parsley.min.js
19:56:31	ext: .JS
19:56:31	Request file: /vendors/fastclick/lib/fastclick.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\fastclick\lib\fastclick.js
19:56:31	ext: .JS
19:56:31	Request file: /vendors/nprogress/nprogress.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\nprogress\nprogress.js
19:56:31	ext: .JS
19:56:31	Request file: /vendors/datatables.net/js/jquery.dataTables.min.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net\js\jquery.dataTables.min.js
19:56:31	ext: .JS
19:56:31	Request file: /vendors/datatables.net-bs/js/dataTables.bootstrap.min.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-bs\js\dataTables.bootstrap.min.js
19:56:31	ext: .JS
19:56:31	Request file: /vendors/datatables.net-buttons/js/dataTables.buttons.min.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-buttons\js\dataTables.buttons.min.js
19:56:31	ext: .JS
19:56:31	Request file: /vendors/datatables.net-buttons-bs/js/buttons.bootstrap.min.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-buttons-bs\js\buttons.bootstrap.min.js
19:56:31	ext: .JS
19:56:31	Request file: /vendors/datatables.net-buttons/js/buttons.flash.min.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-buttons\js\buttons.flash.min.js
19:56:31	ext: .JS
19:56:31	Request file: /vendors/datatables.net-buttons/js/buttons.html5.min.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-buttons\js\buttons.html5.min.js
19:56:31	ext: .JS
19:56:31	Request file: /vendors/datatables.net-buttons/js/buttons.print.min.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-buttons\js\buttons.print.min.js
19:56:31	ext: .JS
19:56:31	Request file: /vendors/datatables.net-fixedheader/js/dataTables.fixedHeader.min.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-fixedheader\js\dataTables.fixedHeader.min.js
19:56:31	ext: .JS
19:56:31	Request file: /vendors/datatables.net-keytable/js/dataTables.keyTable.min.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-keytable\js\dataTables.keyTable.min.js
19:56:31	ext: .JS
19:56:31	Request file: /vendors/datatables.net-responsive/js/dataTables.responsive.min.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-responsive\js\dataTables.responsive.min.js
19:56:31	ext: .JS
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-responsive-bs\js\responsive.bootstrap.js
19:56:31	ext: .JS
19:56:31	Request file: /vendors/datatables.net-scroller/js/datatables.scroller.min.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-scroller\js\datatables.scroller.min.js
19:56:31	ext: .JS
19:56:31	Request file: /vendors/datatables.net-responsive-bs/js/responsive.bootstrap.js
19:56:31	Request file: /vendors/jszip/dist/jszip.min.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\jszip\dist\jszip.min.js
19:56:31	ext: .JS
19:56:31	Request file: /js/moment/moment.min.js
19:56:31	ext: .JS
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\js\moment\moment.min.js
19:56:31	Request file: /vendors/jquery/dist/jquery.min.js
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\vendors\jquery\dist\jquery.min.js
19:56:31	ext: .JS
19:56:31	Request file: /img/logoGowhite.png
19:56:31	filename: c:\projectes\Maoni\Maoni\protected\img\logoGowhite.png
19:56:31	ext: .PNG
19:56:32	Request file: /EMB_graph2.html
19:56:32	filename: c:\projectes\Maoni\Maoni\protected\EMB_graph2.html
19:56:32	ext: .HTML
19:56:32	Request file: /vendors/switchery/dist/switchery.min.css
19:56:32	filename: c:\projectes\Maoni\Maoni\protected\vendors\switchery\dist\switchery.min.css
19:56:32	ext: .CSS
19:56:32	Request file: /vendors/jquery/dist/jquery.min.js?_=1468432591723
19:56:32	filename: c:\projectes\Maoni\Maoni\protected\vendors\jquery\dist\jquery.min.js
19:56:32	ext: .JS
19:56:32	Request file: /vendors/bootstrap/dist/js/bootstrap.min.js?_=1468432591724
19:56:32	filename: c:\projectes\Maoni\Maoni\protected\vendors\bootstrap\dist\js\bootstrap.min.js
19:56:32	ext: .JS
19:56:32	Request file: /vendors/switchery/dist/switchery.min.js?_=1468432591725
19:56:32	filename: c:\projectes\Maoni\Maoni\protected\vendors\switchery\dist\switchery.min.js
19:56:32	ext: .JS
19:56:32	Request file: /vendors/raphael/raphael.min.js?_=1468432591726
19:56:32	ext: .JS
19:56:32	filename: c:\projectes\Maoni\Maoni\protected\vendors\raphael\raphael.min.js
19:56:32	Request file: /vendors/morris.js/morris.min.js?_=1468432591727
19:56:32	filename: c:\projectes\Maoni\Maoni\protected\vendors\morris.js\morris.min.js
19:56:32	ext: .JS
19:56:32	Request file: /js/lib.js?_=1468432591728
19:56:32	filename: c:\projectes\Maoni\Maoni\protected\js\lib.js
19:56:32	ext: .JS
19:57:1	Request file: /EMB_graph2.html
19:57:1	filename: c:\projectes\Maoni\Maoni\protected\EMB_graph2.html
19:57:1	ext: .HTML
19:57:1	Request file: /vendors/jquery/dist/jquery.min.js?_=1468432592250
19:57:1	filename: c:\projectes\Maoni\Maoni\protected\vendors\jquery\dist\jquery.min.js
19:57:1	ext: .JS
19:57:1	Request file: /vendors/bootstrap/dist/js/bootstrap.min.js?_=1468432592251
19:57:1	filename: c:\projectes\Maoni\Maoni\protected\vendors\bootstrap\dist\js\bootstrap.min.js
19:57:1	ext: .JS
19:57:1	Request file: /vendors/switchery/dist/switchery.min.js?_=1468432592252
19:57:1	filename: c:\projectes\Maoni\Maoni\protected\vendors\switchery\dist\switchery.min.js
19:57:1	ext: .JS
19:57:1	Request file: /vendors/raphael/raphael.min.js?_=1468432592253
19:57:1	filename: c:\projectes\Maoni\Maoni\protected\vendors\raphael\raphael.min.js
19:57:1	ext: .JS
19:57:1	Request file: /vendors/morris.js/morris.min.js?_=1468432592254
19:57:1	filename: c:\projectes\Maoni\Maoni\protected\vendors\morris.js\morris.min.js
19:57:1	ext: .JS
19:57:1	Request file: /js/lib.js?_=1468432592255
19:57:1	filename: c:\projectes\Maoni\Maoni\protected\js\lib.js
19:57:1	ext: .JS
19:57:25	Request file: /@@MENU@@_page_201.html?SESSIONKEY=252867
19:57:25	ext: .HTML
19:57:25	filename: c:\projectes\Maoni\Maoni\protected\@@MENU@@_page_201.html
19:57:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\bootstrap\dist\js\bootstrap.min.js
19:57:25	Request file: /vendors/bootstrap/dist/js/bootstrap.min.js
19:57:25	ext: .JS
19:57:25	Request file: /js/toastr.js
19:57:25	filename: c:\projectes\Maoni\Maoni\protected\js\toastr.js
19:57:25	ext: .JS
19:57:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\bootstrap\dist\css\bootstrap.min.css
19:57:25	Request file: /vendors/bootstrap/dist/css/bootstrap.min.css
19:57:25	ext: .CSS
19:57:25	Request file: /vendors/font-awesome/css/font-awesome.min.css
19:57:25	ext: .CSS
19:57:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\font-awesome\css\font-awesome.min.css
19:57:25	Request file: /vendors/iCheck/skins/flat/green.css
19:57:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\iCheck\skins\flat\green.css
19:57:25	ext: .CSS
19:57:25	Request file: /vendors/bootstrap-progressbar/css/bootstrap-progressbar-3.3.4.min.css
19:57:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\bootstrap-progressbar\css\bootstrap-progressbar-3.3.4.min.css
19:57:25	ext: .CSS
19:57:25	Request file: /css/maps/jquery-jvectormap-2.0.3.css
19:57:25	filename: c:\projectes\Maoni\Maoni\protected\css\maps\jquery-jvectormap-2.0.3.css
19:57:25	ext: .CSS
19:57:25	ext: .CSS
19:57:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\select2\dist\css\select2.min.css
19:57:25	Request file: /vendors/select2/dist/css/select2.min.css
19:57:25	Request file: /css/toastr.css
19:57:25	filename: c:\projectes\Maoni\Maoni\protected\css\toastr.css
19:57:25	ext: .CSS
19:57:25	Request file: /css/custom.css
19:57:25	filename: c:\projectes\Maoni\Maoni\protected\css\custom.css
19:57:25	ext: .CSS
19:57:25	ext: .CSS
19:57:25	Request file: /css/animate.min.css
19:57:25	filename: c:\projectes\Maoni\Maoni\protected\css\animate.min.css
19:57:25	ext: .CSS
19:57:25	Request file: /vendors/datatables.net-bs/css/dataTables.bootstrap.min.css
19:57:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-bs\css\dataTables.bootstrap.min.css
19:57:25	ext: .CSS
19:57:25	Request file: /vendors/datatables.net-buttons-bs/css/buttons.bootstrap.min.css
19:57:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-buttons-bs\css\buttons.bootstrap.min.css
19:57:25	ext: .CSS
19:57:25	Request file: /css/maoni.css
19:57:25	filename: c:\projectes\Maoni\Maoni\protected\css\maoni.css
19:57:25	Request file: /vendors/datatables.net-fixedheader-bs/css/fixedHeader.bootstrap.min.css
