22:5:27	INICIO maoni. Escuchando en el puerto: 5555
22:5:46	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-select.min.js
22:5:46	Request file: /js/bootstrap-select.min.js
22:5:46	ext: .JS
22:5:46	Request file: /css/bootstrap-datetimepicker.min.css
22:5:46	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-datetimepicker.min.css
22:5:46	ext: .CSS
22:5:46	Request file: /css/dashboard.css
22:5:46	filename: c:\projectes\Maoni\Maoni\protected\css\dashboard.css
22:5:46	ext: .CSS
22:5:46	Request file: /css/bootstrap-select.min.css
22:5:46	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-select.min.css
22:5:46	ext: .CSS
22:5:46	Request file: /css/material-design-iconic-font.min.css
22:5:46	filename: c:\projectes\Maoni\Maoni\protected\css\material-design-iconic-font.min.css
22:5:46	ext: .CSS
22:5:46	Request file: /img/logo.png
22:5:46	filename: c:\projectes\Maoni\Maoni\protected\img\logo.png
22:5:46	ext: .PNG
22:5:47	ext: .WOFF2
22:5:47	Request file: /bootstrap/fonts/glyphicons-halflings-regular.woff2
22:5:47	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\fonts\glyphicons-halflings-regular.woff2
22:5:47	Request file: /bootstrap/fonts/glyphicons-halflings-regular.woff
22:5:47	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\fonts\glyphicons-halflings-regular.woff
22:5:47	ext: .WOFF
22:23:29	Request file: /@@MENU@@_page_000.html?SESSIONKEY=115498
22:23:29	filename: c:\projectes\Maoni\Maoni\protected\@@MENU@@_page_000.html
22:23:29	ext: .HTML
22:23:29	Request file: /jquery/jquery.min.js
22:23:29	filename: c:\projectes\Maoni\Maoni\protected\jquery\jquery.min.js
22:23:29	ext: .JS
22:23:29	Request file: /js/moment.min.js
22:23:29	ext: .JS
22:23:29	filename: c:\projectes\Maoni\Maoni\protected\js\moment.min.js
22:23:29	Request file: /bootstrap/js/bootstrap.min.js
22:23:29	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\js\bootstrap.min.js
22:23:29	ext: .JS
22:23:29	Request file: /js/bootstrap-datetimepicker.min.js
22:23:29	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-datetimepicker.min.js
22:23:29	ext: .JS
22:23:29	Request file: /js/lib.js
22:23:29	filename: c:\projectes\Maoni\Maoni\protected\js\lib.js
22:23:29	ext: .JS
22:23:29	Request file: /js/bootstrap-select.min.js
22:23:29	ext: .JS
22:23:29	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-select.min.js
22:23:29	Request file: /bootstrap/css/bootstrap.min.css
22:23:29	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\css\bootstrap.min.css
22:23:29	ext: .CSS
22:23:29	Request file: /css/bootstrap-datetimepicker.min.css
22:23:29	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-datetimepicker.min.css
22:23:29	ext: .CSS
22:23:29	Request file: /css/maoni.css
22:23:29	filename: c:\projectes\Maoni\Maoni\protected\css\maoni.css
22:23:29	ext: .CSS
22:23:29	Request file: /css/animate.min.css
22:23:29	filename: c:\projectes\Maoni\Maoni\protected\css\animate.min.css
22:23:29	ext: .CSS
22:23:29	Request file: /css/bootstrap-select.min.css
22:23:29	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-select.min.css
22:23:29	ext: .CSS
22:23:29	Request file: /css/dashboard.css
22:23:29	filename: c:\projectes\Maoni\Maoni\protected\css\dashboard.css
22:23:29	ext: .CSS
22:23:29	Request file: /css/material-design-iconic-font.min.css
22:23:29	filename: c:\projectes\Maoni\Maoni\protected\css\material-design-iconic-font.min.css
22:23:29	ext: .CSS
22:23:29	Request file: /img/logo.png
22:23:29	filename: c:\projectes\Maoni\Maoni\protected\img\logo.png
22:23:29	ext: .PNG
22:23:29	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\fonts\glyphicons-halflings-regular.woff2
22:23:29	ext: .WOFF2
22:23:29	Request file: /bootstrap/fonts/glyphicons-halflings-regular.woff2
22:24:54	Request file: /@@MENU@@_page_000.html?SESSIONKEY=115498
22:24:54	filename: c:\projectes\Maoni\Maoni\protected\@@MENU@@_page_000.html
22:24:54	ext: .HTML
22:24:54	filename: c:\projectes\Maoni\Maoni\protected\jquery\jquery.min.js
22:24:54	Request file: /jquery/jquery.min.js
22:24:54	ext: .JS
22:24:54	Request file: /js/moment.min.js
22:24:54	Request file: /bootstrap/js/bootstrap.min.js
22:24:54	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\js\bootstrap.min.js
22:24:54	ext: .JS
22:24:54	filename: c:\projectes\Maoni\Maoni\protected\js\moment.min.js
22:24:54	ext: .JS
22:24:54	ext: .JS
22:24:54	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-datetimepicker.min.js
22:24:54	Request file: /js/bootstrap-datetimepicker.min.js
22:24:54	Request file: /js/lib.js
22:24:54	Request file: /js/bootstrap-select.min.js
22:24:54	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-select.min.js
22:24:54	ext: .JS
22:24:54	filename: c:\projectes\Maoni\Maoni\protected\js\lib.js
22:24:54	ext: .JS
22:24:54	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\css\bootstrap.min.css
22:24:54	ext: .CSS
22:24:54	Request file: /bootstrap/css/bootstrap.min.css
22:24:54	Request file: /css/bootstrap-datetimepicker.min.css
22:24:54	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-datetimepicker.min.css
22:24:54	ext: .CSS
22:24:54	Request file: /css/maoni.css
22:24:54	filename: c:\projectes\Maoni\Maoni\protected\css\maoni.css
22:24:54	ext: .CSS
22:24:54	Request file: /css/dashboard.css
22:24:54	ext: .CSS
22:24:54	Request file: /css/animate.min.css
22:24:54	filename: c:\projectes\Maoni\Maoni\protected\css\animate.min.css
22:24:54	ext: .CSS
22:24:54	Request file: /css/bootstrap-select.min.css
22:24:54	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-select.min.css
22:24:54	ext: .CSS
22:24:54	filename: c:\projectes\Maoni\Maoni\protected\css\dashboard.css
22:24:54	Request file: /css/material-design-iconic-font.min.css
22:24:54	filename: c:\projectes\Maoni\Maoni\protected\css\material-design-iconic-font.min.css
22:24:54	ext: .CSS
22:24:54	Request file: /img/logo.png
22:24:54	ext: .PNG
22:24:54	filename: c:\projectes\Maoni\Maoni\protected\img\logo.png
22:24:55	Request file: /bootstrap/fonts/glyphicons-halflings-regular.woff2
22:24:55	ext: .WOFF2
22:24:55	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\fonts\glyphicons-halflings-regular.woff2
22:25:35	Request file: /@@MENU@@_page_000.html?SESSIONKEY=115498
22:25:35	filename: c:\projectes\Maoni\Maoni\protected\@@MENU@@_page_000.html
22:25:35	ext: .HTML
22:25:35	Request file: /jquery/jquery.min.js
22:25:35	filename: c:\projectes\Maoni\Maoni\protected\jquery\jquery.min.js
22:25:35	ext: .JS
22:25:35	Request file: /js/moment.min.js
22:25:35	ext: .JS
22:25:35	filename: c:\projectes\Maoni\Maoni\protected\js\moment.min.js
22:25:35	Request file: /bootstrap/js/bootstrap.min.js
22:25:35	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\js\bootstrap.min.js
22:25:35	ext: .JS
22:25:35	Request file: /js/bootstrap-datetimepicker.min.js
22:25:35	ext: .JS
22:25:35	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-datetimepicker.min.js
22:25:35	Request file: /js/lib.js
22:25:35	filename: c:\projectes\Maoni\Maoni\protected\js\lib.js
22:25:35	ext: .JS
22:25:35	Request file: /js/bootstrap-select.min.js
22:25:35	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-select.min.js
22:25:35	ext: .JS
22:25:35	Request file: /bootstrap/css/bootstrap.min.css
22:25:35	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\css\bootstrap.min.css
22:25:35	ext: .CSS
22:25:35	Request file: /css/bootstrap-datetimepicker.min.css
22:25:35	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-datetimepicker.min.css
22:25:35	ext: .CSS
22:25:35	Request file: /css/maoni.css
22:25:35	filename: c:\projectes\Maoni\Maoni\protected\css\maoni.css
22:25:35	ext: .CSS
22:25:35	Request file: /css/dashboard.css
22:25:35	filename: c:\projectes\Maoni\Maoni\protected\css\dashboard.css
22:25:35	ext: .CSS
22:25:35	Request file: /css/animate.min.css
22:25:35	filename: c:\projectes\Maoni\Maoni\protected\css\animate.min.css
22:25:35	ext: .CSS
22:25:35	Request file: /css/bootstrap-select.min.css
22:25:35	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-select.min.css
22:25:35	ext: .CSS
22:25:35	Request file: /css/material-design-iconic-font.min.css
22:25:35	filename: c:\projectes\Maoni\Maoni\protected\css\material-design-iconic-font.min.css
22:25:35	ext: .CSS
22:25:35	Request file: /img/logo.png
22:25:35	filename: c:\projectes\Maoni\Maoni\protected\img\logo.png
22:25:35	ext: .PNG
22:25:35	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\fonts\glyphicons-halflings-regular.woff2
22:25:35	Request file: /bootstrap/fonts/glyphicons-halflings-regular.woff2
22:25:35	ext: .WOFF2
22:25:55	Request file: /@@MENU@@_page_000.html?SESSIONKEY=115498
22:25:55	filename: c:\projectes\Maoni\Maoni\protected\@@MENU@@_page_000.html
22:25:55	ext: .HTML
22:25:55	Request file: /jquery/jquery.min.js
22:25:55	filename: c:\projectes\Maoni\Maoni\protected\jquery\jquery.min.js
22:25:55	ext: .JS
22:25:55	Request file: /js/moment.min.js
22:25:55	ext: .JS
22:25:55	filename: c:\projectes\Maoni\Maoni\protected\js\moment.min.js
22:25:55	Request file: /bootstrap/js/bootstrap.min.js
22:25:55	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\js\bootstrap.min.js
22:25:55	ext: .JS
22:25:55	Request file: /js/bootstrap-datetimepicker.min.js
22:25:55	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-datetimepicker.min.js
22:25:55	ext: .JS
22:25:55	Request file: /js/lib.js
22:25:55	filename: c:\projectes\Maoni\Maoni\protected\js\lib.js
22:25:55	ext: .JS
22:25:55	Request file: /js/bootstrap-select.min.js
22:25:55	ext: .JS
22:25:55	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-select.min.js
22:25:55	Request file: /bootstrap/css/bootstrap.min.css
22:25:55	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\css\bootstrap.min.css
22:25:55	ext: .CSS
22:25:55	Request file: /css/bootstrap-datetimepicker.min.css
22:25:55	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-datetimepicker.min.css
22:25:55	ext: .CSS
22:25:55	Request file: /css/maoni.css
22:25:55	filename: c:\projectes\Maoni\Maoni\protected\css\maoni.css
22:25:55	ext: .CSS
22:25:55	Request file: /css/dashboard.css
22:25:55	filename: c:\projectes\Maoni\Maoni\protected\css\dashboard.css
22:25:55	ext: .CSS
22:25:55	ext: .CSS
22:25:55	Request file: /css/animate.min.css
22:25:55	filename: c:\projectes\Maoni\Maoni\protected\css\animate.min.css
22:25:55	Request file: /css/bootstrap-select.min.css
22:25:55	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-select.min.css
22:25:55	ext: .CSS
22:25:55	ext: .CSS
22:25:55	Request file: /css/material-design-iconic-font.min.css
22:25:55	filename: c:\projectes\Maoni\Maoni\protected\css\material-design-iconic-font.min.css
22:25:55	Request file: /img/logo.png
22:25:55	filename: c:\projectes\Maoni\Maoni\protected\img\logo.png
22:25:55	ext: .PNG
22:25:55	Request file: /bootstrap/fonts/glyphicons-halflings-regular.woff2
22:25:55	ext: .WOFF2
22:25:55	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\fonts\glyphicons-halflings-regular.woff2
22:26:28	Request file: /@@MENU@@_page_000.html?SESSIONKEY=115498
22:26:28	filename: c:\projectes\Maoni\Maoni\protected\@@MENU@@_page_000.html
22:26:28	ext: .HTML
22:26:28	Request file: /jquery/jquery.min.js
22:26:28	filename: c:\projectes\Maoni\Maoni\protected\jquery\jquery.min.js
22:26:28	ext: .JS
22:26:28	Request file: /js/moment.min.js
22:26:28	filename: c:\projectes\Maoni\Maoni\protected\js\moment.min.js
22:26:28	ext: .JS
22:26:28	Request file: /bootstrap/js/bootstrap.min.js
22:26:28	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\js\bootstrap.min.js
22:26:28	ext: .JS
22:26:28	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-datetimepicker.min.js
22:26:28	ext: .JS
22:26:28	Request file: /js/bootstrap-datetimepicker.min.js
22:26:28	Request file: /js/lib.js
22:26:28	filename: c:\projectes\Maoni\Maoni\protected\js\lib.js
22:26:28	ext: .JS
22:26:28	Request file: /js/bootstrap-select.min.js
22:26:28	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-select.min.js
22:26:28	ext: .JS
22:26:28	Request file: /bootstrap/css/bootstrap.min.css
22:26:28	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\css\bootstrap.min.css
22:26:28	ext: .CSS
22:26:28	Request file: /css/bootstrap-datetimepicker.min.css
22:26:28	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-datetimepicker.min.css
22:26:28	ext: .CSS
22:26:28	Request file: /css/maoni.css
22:26:28	filename: c:\projectes\Maoni\Maoni\protected\css\maoni.css
22:26:28	ext: .CSS
22:26:28	Request file: /css/dashboard.css
22:26:28	filename: c:\projectes\Maoni\Maoni\protected\css\dashboard.css
22:26:28	ext: .CSS
22:26:28	Request file: /css/animate.min.css
22:26:28	filename: c:\projectes\Maoni\Maoni\protected\css\animate.min.css
22:26:28	ext: .CSS
22:26:28	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-select.min.css
22:26:28	filename: c:\projectes\Maoni\Maoni\protected\css\material-design-iconic-font.min.css
22:26:28	ext: .CSS
22:26:28	Request file: /css/bootstrap-select.min.css
22:26:28	ext: .CSS
22:26:28	Request file: /css/material-design-iconic-font.min.css
22:26:28	Request file: /img/logo.png
22:26:28	filename: c:\projectes\Maoni\Maoni\protected\img\logo.png
22:26:28	ext: .PNG
22:26:28	Request file: /bootstrap/fonts/glyphicons-halflings-regular.woff2
22:26:28	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\fonts\glyphicons-halflings-regular.woff2
22:26:28	ext: .WOFF2
22:27:11	Request file: /@@MENU@@_page_000.html?SESSIONKEY=115498
22:27:11	filename: c:\projectes\Maoni\Maoni\protected\@@MENU@@_page_000.html
22:27:11	ext: .HTML
22:27:11	Request file: /jquery/jquery.min.js
22:27:11	filename: c:\projectes\Maoni\Maoni\protected\jquery\jquery.min.js
22:27:11	ext: .JS
22:27:11	Request file: /js/moment.min.js
22:27:11	filename: c:\projectes\Maoni\Maoni\protected\js\moment.min.js
22:27:11	ext: .JS
22:27:11	Request file: /bootstrap/js/bootstrap.min.js
22:27:11	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\js\bootstrap.min.js
22:27:11	ext: .JS
22:27:11	Request file: /js/bootstrap-datetimepicker.min.js
22:27:11	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-datetimepicker.min.js
22:27:11	ext: .JS
22:27:11	Request file: /js/lib.js
22:27:11	filename: c:\projectes\Maoni\Maoni\protected\js\lib.js
22:27:11	ext: .JS
22:27:11	Request file: /js/bootstrap-select.min.js
22:27:11	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-select.min.js
22:27:11	ext: .JS
22:27:11	ext: .CSS
22:27:11	Request file: /bootstrap/css/bootstrap.min.css
22:27:11	Request file: /css/bootstrap-datetimepicker.min.css
22:27:11	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-datetimepicker.min.css
22:27:11	ext: .CSS
22:27:11	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\css\bootstrap.min.css
22:27:11	Request file: /css/maoni.css
22:27:11	filename: c:\projectes\Maoni\Maoni\protected\css\maoni.css
22:27:11	ext: .CSS
22:27:11	filename: c:\projectes\Maoni\Maoni\protected\css\dashboard.css
22:27:11	Request file: /css/dashboard.css
22:27:11	ext: .CSS
22:27:11	Request file: /css/animate.min.css
22:27:11	filename: c:\projectes\Maoni\Maoni\protected\css\animate.min.css
22:27:11	ext: .CSS
22:27:11	Request file: /css/bootstrap-select.min.css
22:27:11	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-select.min.css
22:27:11	ext: .CSS
22:27:11	Request file: /css/material-design-iconic-font.min.css
22:27:11	filename: c:\projectes\Maoni\Maoni\protected\css\material-design-iconic-font.min.css
22:27:11	ext: .CSS
22:27:11	Request file: /img/logo.png
22:27:11	ext: .PNG
22:27:11	filename: c:\projectes\Maoni\Maoni\protected\img\logo.png
22:27:11	Request file: /bootstrap/fonts/glyphicons-halflings-regular.woff2
22:27:11	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\fonts\glyphicons-halflings-regular.woff2
22:27:11	ext: .WOFF2
22:27:40	Request file: /@@MENU@@_page_000.html?SESSIONKEY=115498
22:27:40	filename: c:\projectes\Maoni\Maoni\protected\@@MENU@@_page_000.html
22:27:40	ext: .HTML
22:27:40	Request file: /jquery/jquery.min.js
22:27:40	filename: c:\projectes\Maoni\Maoni\protected\jquery\jquery.min.js
22:27:40	ext: .JS
22:27:40	Request file: /js/moment.min.js
22:27:40	filename: c:\projectes\Maoni\Maoni\protected\js\moment.min.js
22:27:40	ext: .JS
22:27:40	Request file: /bootstrap/js/bootstrap.min.js
22:27:40	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\js\bootstrap.min.js
22:27:40	ext: .JS
22:27:40	Request file: /js/bootstrap-datetimepicker.min.js
22:27:40	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-datetimepicker.min.js
22:27:40	ext: .JS
22:27:40	Request file: /js/lib.js
22:27:40	filename: c:\projectes\Maoni\Maoni\protected\js\lib.js
22:27:40	ext: .JS
22:27:40	Request file: /js/bootstrap-select.min.js
22:27:40	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-select.min.js
22:27:40	ext: .JS
22:27:40	Request file: /bootstrap/css/bootstrap.min.css
22:27:40	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\css\bootstrap.min.css
22:27:40	ext: .CSS
22:27:40	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-datetimepicker.min.css
22:27:40	Request file: /css/bootstrap-datetimepicker.min.css
22:27:40	ext: .CSS
22:27:40	Request file: /css/maoni.css
22:27:40	ext: .CSS
22:27:40	filename: c:\projectes\Maoni\Maoni\protected\css\maoni.css
22:27:40	Request file: /css/dashboard.css
22:27:40	ext: .CSS
22:27:40	filename: c:\projectes\Maoni\Maoni\protected\css\dashboard.css
22:27:40	Request file: /css/animate.min.css
22:27:40	filename: c:\projectes\Maoni\Maoni\protected\css\animate.min.css
22:27:40	ext: .CSS
22:27:40	Request file: /css/bootstrap-select.min.css
22:27:40	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-select.min.css
22:27:40	ext: .CSS
22:27:40	filename: c:\projectes\Maoni\Maoni\protected\css\material-design-iconic-font.min.css
22:27:40	Request file: /css/material-design-iconic-font.min.css
22:27:40	ext: .CSS
22:27:40	Request file: /img/logo.png
22:27:40	filename: c:\projectes\Maoni\Maoni\protected\img\logo.png
22:27:40	ext: .PNG
22:27:40	Request file: /bootstrap/fonts/glyphicons-halflings-regular.woff2
22:27:40	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\fonts\glyphicons-halflings-regular.woff2
22:27:40	ext: .WOFF2
22:27:58	Request file: /@@MENU@@_page_000.html?SESSIONKEY=115498
22:27:58	filename: c:\projectes\Maoni\Maoni\protected\@@MENU@@_page_000.html
22:27:58	ext: .HTML
22:27:58	Request file: /jquery/jquery.min.js
22:27:58	filename: c:\projectes\Maoni\Maoni\protected\jquery\jquery.min.js
22:27:58	ext: .JS
22:27:58	Request file: /js/moment.min.js
22:27:58	filename: c:\projectes\Maoni\Maoni\protected\js\moment.min.js
22:27:58	ext: .JS
22:27:58	ext: .JS
22:27:58	Request file: /bootstrap/js/bootstrap.min.js
22:27:58	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\js\bootstrap.min.js
22:27:58	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-datetimepicker.min.js
22:27:58	Request file: /js/bootstrap-datetimepicker.min.js
22:27:58	ext: .JS
22:27:58	filename: c:\projectes\Maoni\Maoni\protected\js\lib.js
22:27:58	Request file: /js/lib.js
22:27:58	ext: .JS
22:27:58	Request file: /js/bootstrap-select.min.js
22:27:58	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-select.min.js
22:27:58	ext: .JS
22:27:58	Request file: /bootstrap/css/bootstrap.min.css
22:27:58	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\css\bootstrap.min.css
22:27:58	ext: .CSS
22:27:58	Request file: /css/bootstrap-datetimepicker.min.css
22:27:58	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-datetimepicker.min.css
22:27:58	ext: .CSS
22:27:58	Request file: /css/maoni.css
22:27:58	filename: c:\projectes\Maoni\Maoni\protected\css\maoni.css
22:27:58	ext: .CSS
22:27:58	Request file: /css/dashboard.css
22:27:58	filename: c:\projectes\Maoni\Maoni\protected\css\dashboard.css
22:27:58	ext: .CSS
22:27:58	Request file: /css/animate.min.css
22:27:58	filename: c:\projectes\Maoni\Maoni\protected\css\animate.min.css
22:27:58	ext: .CSS
22:27:58	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-select.min.css
22:27:58	Request file: /css/bootstrap-select.min.css
22:27:58	ext: .CSS
22:27:58	Request file: /css/material-design-iconic-font.min.css
22:27:58	filename: c:\projectes\Maoni\Maoni\protected\css\material-design-iconic-font.min.css
22:27:58	ext: .CSS
22:27:58	Request file: /img/logo.png
22:27:58	ext: .PNG
22:27:58	filename: c:\projectes\Maoni\Maoni\protected\img\logo.png
22:27:58	Request file: /bootstrap/fonts/glyphicons-halflings-regular.woff2
22:27:58	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\fonts\glyphicons-halflings-regular.woff2
22:27:58	ext: .WOFF2
22:28:27	Request file: /@@MENU@@_page_000.html?SESSIONKEY=115498
22:28:27	filename: c:\projectes\Maoni\Maoni\protected\@@MENU@@_page_000.html
22:28:27	ext: .HTML
22:28:27	Request file: /jquery/jquery.min.js
22:28:27	filename: c:\projectes\Maoni\Maoni\protected\jquery\jquery.min.js
22:28:27	Request file: /js/moment.min.js
22:28:27	filename: c:\projectes\Maoni\Maoni\protected\js\moment.min.js
22:28:27	ext: .JS
22:28:27	ext: .JS
22:28:27	Request file: /bootstrap/js/bootstrap.min.js
22:28:27	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\js\bootstrap.min.js
22:28:27	ext: .JS
22:28:27	Request file: /js/bootstrap-datetimepicker.min.js
22:28:27	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-datetimepicker.min.js
22:28:27	ext: .JS
22:28:27	ext: .JS
22:28:27	Request file: /js/bootstrap-select.min.js
22:28:27	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-select.min.js
22:28:27	ext: .JS
22:28:27	Request file: /js/lib.js
22:28:27	filename: c:\projectes\Maoni\Maoni\protected\js\lib.js
22:28:27	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\css\bootstrap.min.css
22:28:27	ext: .CSS
22:28:27	Request file: /bootstrap/css/bootstrap.min.css
22:28:27	Request file: /css/bootstrap-datetimepicker.min.css
22:28:27	ext: .CSS
22:28:27	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-datetimepicker.min.css
22:28:27	Request file: /css/maoni.css
22:28:27	filename: c:\projectes\Maoni\Maoni\protected\css\maoni.css
22:28:27	ext: .CSS
22:28:27	filename: c:\projectes\Maoni\Maoni\protected\css\dashboard.css
22:28:27	ext: .CSS
22:28:27	Request file: /css/dashboard.css
22:28:27	Request file: /css/animate.min.css
22:28:27	ext: .CSS
22:28:27	filename: c:\projectes\Maoni\Maoni\protected\css\animate.min.css
22:28:27	filename: c:\projectes\Maoni\Maoni\protected\css\bootstrap-select.min.css
22:28:27	Request file: /css/bootstrap-select.min.css
